No Satelit    Epoch                 B*               True Anomaly       Ketinggian
41603         2023.00036651869      0.00009575       254.87532277       504.19974583
41603         2023.00164961334      0.00009997       299.82935851       497.51052816
41603         2023.00253450277      0.00009930       268.79997821       502.07874682
41603         2023.00289510904      0.00010077       269.61081168       501.95079478
41603         2023.00419377989      0.00010238       345.74839507       493.28082040
41603         2023.00510291866      0.00010073         3.11181800       492.91712455
41603         2023.00595929921      0.00010312       274.80610474       501.12148181
41603         2023.00650450008      0.00010264       284.66106353       499.59669275
41603         2023.00777107858      0.00010035       296.55259858       497.82832826
41603         2023.00883221510      0.00010173       257.69416742       503.78613641
41603         2023.00976167578      0.00010155       315.75530753       495.38497215
41603         2023.01044898290      0.00010010       249.65426379       505.00657488
41603         2023.01082447079      0.00009986       280.23771580       500.23556245
41603         2023.01136543671      0.00010150       281.62779542       500.01788151
41603         2023.01229183904      0.00010199       333.66507274       493.71487336
41603         2023.01334395581      0.00009978       276.70812557       500.77426843
41603         2023.01424932310      0.00010226       286.47477610       499.24526350
41603         2023.01534676915      0.00010279       320.34430997       494.80321062
41603         2023.01570212912      0.00010242       310.59824142       495.83871244
41603         2023.01623021449      0.00010162       286.15678434       499.26208917
41603         2023.01695181633      0.00010472       288.59398743       498.87853023
41603         2023.01789333488      0.00010539        10.82578753       492.74527297
41603         2023.01877157068      0.00010366       326.21510712       494.11176761
41603         2023.01965479888      0.00010776       291.66406518       498.35974095
41603         2023.02021539345      0.00010786       332.36012009       493.52541966
41603         2023.02077589619      0.00010904        12.92216505       492.67422384
41603         2023.02165550970      0.00010835       331.07553927       493.53929302
41603         2023.02235827238      0.00011087       295.76564476       497.70373821
41603         2023.02347199099      0.00011300         2.27211850       492.37098723
41603         2023.02416929156      0.00011231       316.03579599       494.96534328
41603         2023.02503905986      0.00011505       254.81214402       504.24964571
41603         2023.02632924159      0.00011594       314.04911659       495.15329480
41603         2023.02706279340      0.00011388       340.31129661       492.76590263
41603         2023.02776344019      0.00011630       300.84771243       496.85489889
41603         2023.02888006444      0.00011523        13.13717847       492.44240078
41603         2023.02978983195      0.00011288        31.55214120       493.55664443
41603         2023.03064712332      0.00011447       305.03216252       496.22634600
41603         2023.03194001814      0.00011316         9.55721442       492.24244665
41603         2023.03264780189      0.00011235       344.18302997       492.43150319
41603         2023.03316965334      0.00011459       307.22163067       495.87754541
41603         2023.03408406542      0.00011483       335.25723032       492.94237706
41603         2023.03461705153      0.00011642       320.68105517       494.21936302
